GapStart,GapEnd,DurationMinutes
2015-03-06 07:33,2015-03-06 07:35,2
2015-03-06 07:36,2015-03-06 07:38,2
2015-03-06 07:43,2015-03-06 07:45,2
2015-03-06 07:46,2015-03-06 07:48,2
2015-03-06 07:53,2015-03-06 07:55,2
2015-03-06 07:56,2015-03-06 07:58,2
2015-03-06 08:03,2015-03-06 08:05,2
2015-03-06 08:06,2015-03-06 08:08,2
2015-03-06 08:11,2015-03-06 08:55,44
2015-03-06 09:02,2015-03-06 09:09,7
